Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
نزار مخلوفي,Nizar Makhloufi,327,Male,1981,Teacher,Post Secondary,Kairouan,1,Assembly of the Representatives of the People, القيروان,Kairouan,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الحبيب هرقام,Habib Harguem,328,Male,1946,Principal,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فتحي اللطيف,Fathi Ltaief,329,Male,1956,Union Leader,Post Secondary,Kairouan,1,Constituent Assembly, القيروان,Kairouan,2011-2014,2011-2014,1,حزب العمال,Parti des Travailleurs,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حمادي الجبالي,Hamadi Jebali,330,Male,,,,,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011,0,حركة النهضة,Mouvement Ennahdha,2011,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كمال بن أحمد بن رمضان,Kamel Ben Ahmed Ben Romdhane,331,Male,1958,Economist,Post Secondary,Sousse,0,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منية إبراهيم,Monia Ibrahim,332,Female,1966,Student,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منية ابراهيم,Monia Ibrahim,332,Female,1966,Student,Post Secondary,Sousse,1,Assembly of the Representatives of the People,سوسة,Sousse,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زياد العذاري,Zied Laadhari,333,Male,1975,Lawyer,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زياد العذاري,Zied Laadhari,333,Male,1975,Lawyer,Post Secondary,Sousse,1,Assembly of the Representatives of the People,مدنين ,Sousse,2014-2019,2014-2015,0,حركة النهضة,Mouvement Ennahdha,2014-2015,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زياد العذاري,Zied Laadhari,333,Male,1975,Lawyer,Post Secondary,Sousse,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,حركة النهضة,Mouvement Ennahdha,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فطومة عطية,Fatouma Attia,334,Female,1947,Lawyer,Post Secondary,,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد كريم كريفة,Mohamed Karim Krifa,335,Male,1973,Lawyer,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,حزب المبادرة,Parti D'Initiative,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد كريم كريفة,Mohamed Karim Krifa,335,Male,1973,Lawyer,Post Secondary,Sousse,1,Assembly of the Representatives of the People,سوسة,Sousse,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منى بن نصر,Mouna Ben Nasr,336,Female,1977,Bureaucrat (Ministry of Education),Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,حزب المبادرة,Parti D'Initiative,,مستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الطاهر هميلة,Tahar Hmila,337,Male,1938,Teacher,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2013,حركة الإقلاع إلى المستقبل,Mouvement Envolez Vous Vers Le Futur,2013-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
صالح شعيب,Salah Chouaib,338,Male,1943,Professor,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,,مستقل,Independent,,الخيار الثالث,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إسكندر بو علاقي,Skander Bouallegui,339,Male,1982,,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,حزب التيار الديمقراطي,Courant Democrate,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد قحبيش,Mohamed Gahbich,340,Male,1956,Lawyer,Post Secondary,Sousse,1,Constituent Assembly,سوسة,Sousse,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,التحالف الديمقراطي,Alliance democratique,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نجيب مراد,Nejib Mrad,341,Male,1958,Journalist,Post Secondary,Monastir,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سنية تومية,Sonia Tournia,342,Female,1976,Journalist,Post Secondary,,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
منير بن هنية,Mounir Ben Hnia,343,Male,1968,Business Manager,Post Secondary,Monastir,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الهادي الشاوش,Hedi Chaouech,344,Male,1956,Bureaucrat (Ministry of Finance),Post Secondary,Monastir,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,حزب المبادرة,Parti D'Initiative,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أميرة مرزوق,Amira Marzouk,345,Female,1981,Lawyer,Post Secondary,Siliana,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,حزب المبادرة,Parti D'Initiative,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جمال طوير,Jamel Touir,346,Male,1959,Professor,Post Secondary,Monastir,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,التكتل الديمقراطي من أجل العمل و الحريات,Forum Democratique Pour Le Travaile Et Les Libertes,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الأزهر الشملي,Lazhar Chemli,347,Male,1951,Doctor,Post Secondary,Monastir,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,مستقل,Independent,2012,حزب التيار الديمقراطي,Courant Democrate,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الأزهر الشملي,Lazher Chamli,347,Male,1951,Doctor,Post Secondary,Monastir,1,Assembly of the Representatives of the People,المنستير,Monastir,2019-2024,2019-,,حزب التيار الديمقراطي,Courant Democrate,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد عبد المنعم كرير,Abdelmonem Krir,348,Male,,Doctor,Post Secondary,,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,مستقل,Independent,2012,حركة نداء تونس,Mouvement Nidaa Tounes,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
إبراهيم الحامدي,Ibrahim Hamdi,349,Male,1975,,Post Secondary,Sidi Bouzid,1,Constituent Assembly,المنستير,Monastir,2011-2014,2011-2014,1,حزب الأمة الثقافي الوحدوي,Parti Culturel National Unioniste,,مستقل,Independent,,صوت شعب تونس,La Voix Du Peuple Tunisien,2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الهادي بن ابراهم,Hedi Ben Braham ,350,Male,1950,Professor,Post Secondary,Mahdia,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
 الهادى بن براهم,Hedi Ben Braham ,350,Male,1950,Professor,Post Secondary,Mahdia,1,Assembly of the Representatives of the People,المهدية,Mahdia,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
نجيبة بريول,Najiba Berioul,351,Female,1966,,Post Secondary,Mahdia,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد العزيز شعبان,Abdelaziz Chaabane,352,Male,1974,Lawyer,Post Secondary,Mahdia,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ريم محجوب,Rim Mahjoub,353,Female,1966,Doctor,Post Secondary,Tunis,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,آفاق تونس,Afek Tounes,2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2013,مستقل,Independent,2013,آفاق تونس,Afek Tounes,2013-2014,,,,,,,,,,,,,,,,,,,,,,,,
ريم محجوب,Rim Mahjoub,353,Female,1966,Doctor,Post Secondary,Tunis,0,Assembly of the Representatives of the People,المهدية,Mahdia,2014-2019,2015-2019,1,أفاق تونس,Afek Tounes,2015-2018,مستقل,Independent,2018-2019,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
رفيق التليلي,Rafik Tlili,354,Male,1961,Professor,Post Secondary,Mahdia,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,حركة وفاء,Mouvement Wafa,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فاضل الوج,Fadhel Elouj,355,Male,1960,Entrepreneur ,Post Secondary,Mahdia,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,حزب المبادرة,Parti D'Initiative,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الفاضل الوج,Fadhel Ouej,355,Male,1960,Entrepreneur ,Post Secondary,Mahdia,1,Assembly of the Representatives of the People,المهدية,Mahdia,2019-2024,2019-,,الحزب الدستوري الحر,Parti Destourien Libre,2019-,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
جلال فرحات,Jalel Farhat,356,Male,1957,Principal,Post Secondary,Mahdia,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,صوت شعب تونس,La Voix Du Peuple Tunisien,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد لطفي بن مصباح,Mohamed Lotfi Ben Mesbah,357,Male,1948,Doctor,Post Secondary,Tunis,1,Constituent Assembly,المهدية,Mahdia,2011-2014,2011-2014,1,حزب العدالة و المساواة,Parti De L'Equite Et De L'Egalite,2011-2012,مستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
وليد البناني,Walid Bennani,358,Male,1956,Bureaucrat (Ministry of Transport),Post Secondary,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الوليد بنانى,Walid Banneni,358,Male,1956,Bureaucrat (Ministry of Transport),Post Secondary,Kasserine,1,Assembly of the Representatives of the People,القصرين,Kasserine,2014-2019,2014-2019,1,حركة النهضة,Mouvement Ennahdha,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
خيرة صغيري,Kheira Sghiri,359,Female,1955,Teacher,Post Secondary,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فرح النصيبي,Farah Ncibi,360,Male,,Doctor,Post Secondary,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد علي نصري,Mohamed Ali Nasri,361,Male,1964,Teacher,High School,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2012,مستقل,Independent,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الناجي غرسلي,Mohamed Neji Gharsalli,362,Male,1955,Judge,Post Secondary,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,,حزب الإصلاح والتنمية,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كمال السعداوي,Kamel Saadaoui,363,Male,1965,Teacher,Post Secondary,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,مستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مبروك الحريزي,Mabrouk Hrizi,364,Male,1976,Lawyer,Post Secondary,Kasserine,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,القائمة المستقلة الوفاء,Liste De La Fidelite,,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مبروك الحريزى,Mabrouk Hrizi,364,Male,1976,Lawyer,Post Secondary,Kasserine,1,Assembly of the Representatives of the People,القصرين,Kasserine,2014-2019,2014-2019,1,الموتمر من أجل الجمهورية,Congres Pour La Republicque,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ربيعة نجلاوي,Rabiaa Najlaoui,365,Female,1988,,Post Secondary,Sousse,1,Constituent Assembly,القصرين,Kasserine,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,مستقل,Independent,2012,حركة نداء تونس,Mouvement Nidaa Tounes,2012-2014,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الطاهر تليلي,Mohamed Taher Tlili,366,Male,1959,Professor,Post Secondary,Sidi Bouzid,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
بية جوادي ,Baya Jaouadi,367,Female,1969,Teacher,Post Secondary,Jendouba,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد بن يوسف الحامدي,Mohamed Ben Youssef El Hamdi,368,Male,1954,Principal,Post Secondary,Sidi Bouzid,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,تيار المحبة,Courant De L’Amour,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد بن يوسف الحامدي,Mohamed Ben Youssef El Hamdi,368,Male,1954,Principal,Post Secondary,Sidi Bouzid,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2014-2019,1,تيار المحبة,Courant De L’Amour,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فايزة كدوسي,Faiza Kadoussi,369,Female,1988,Student,Post Secondary,Sidi Bouzid,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2014,تيار المحبة,Courant De L’Amour,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
الحسني بدري,El Hasni Badri,370,Male,,,,,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",2011-2012,الحزب الجمهوري,Al Joumhouri,2012-2014,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد براهمي,Mohamed Brahmi,371,Male,,,,,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2013,0,حركة الشعب,Mouvement Du Peuple,2011-2013,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فاضل الصغراوي,Fadhel Saghraoui,372,Male,1982,Teacher,Post Secondary,Sidi Bouzid,0,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2013-2014,1,حركة الشعب,Mouvement Du Peuple,2013-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد الخصخوصى,Ahmed Khaskhoussi,373,Male,1947,Professor,Post Secondary,Sidi Bouzid,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2013,0,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,2011-2013,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
أحمد الخصخوصى,Ahmed Khaskhoussi,373,Male,1947,Professor,Post Secondary,Sidi Bouzid,1,Assembly of the Representatives of the People,سيدي بوزيد,Sidi Bouzid,2014-2019,2014-2019,1,حركة الديمقراطيين الاجتماعيين,Mouvement Des Democrates Socialistes,2014-2019,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
مانيل قدري,Manel Kadri,374,Female,,,,,0,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2013-2014,1,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,2013-2014,المسار الديمقراطي الاجتماعي,Voie Democratique Et Sociale,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد الطاهر إيلاهي,Mohamed Tahar Ilahi,375,Male,,Professor,Post Secondary,Sidi Bouzid,1,Constituent Assembly,سيدي بوزيد,Sidi Bouzid,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
سليمان هلال,Silmane Hlel,376,Male,1957,,Post Secondary,Gafsa,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
زهرة صميدة,Zohra Smida,377,Female,,,,,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد الحليم زواري,Abdelhakim Zouari,378,Male,1963,Doctor,Post Secondary,Gafsa,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حسن رضواني,Hassen Radhouani,379,Male,1958,Bureaucrat (Post Office),Post Secondary,Gafsa,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,العريضة الشعبية للحرية و العدالة و التنمية,"Petition Populaire Pour La Liberte, La Justice, Et Le Developpement",,صوت شعب تونس,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
محمد كحيلة,Mohamed Khila,380,Male,,Educational Training,Post Secondary,Gafsa,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,الحزب الديمقراطي التقدمي,Parti Democrate Progressiste,2011-2012,مستقل,Independent,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
عبد السلام شعبان,Abdesselam Chaabane,381,Male,1966,Teacher,Post Secondary,Gafsa,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,المؤتمر من أجل الجمهورية,Congres Pour La Republicque,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
فيصل جدلاوي,Faycal Jadlaoui,382,Male,1960,Lawyer,Post Secondary,Gafsa,1,Constituent Assembly,قفصة,Gafsa,2011-2014,2011-2014,1,القائمة المستقلة العدالة,Liste De La Justice ,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
حافظ إبراهيم الأسود,Hafedh Lassoued,383,Male,1951,Professor,Post Secondary,Tozeur,1,Constituent Assembly,توزر,Tozeur,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
كوثر الأدغم,Kawthar Ladgham,384,Female,1968,Teacher,Post Secondary,Tozeur,1,Constituent Assembly,توزر,Tozeur,2011-2014,2011-2014,1,حركة النهضة,Mouvement Ennahdha,2011-2014,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
