Name (Arabic),Name (transliterated),M.P. ID Number,Gender,Age,Profession,Education,Birth Place,Elected,Legislative Instituion,Electoral District (Arabic),Electoral District (French),Parliamentary Period,Time Spent in Parliament by Representative in this Period,Did the politician finish this parliamentary period in office?,Politcal Party (Arabic),Political Party (French),Years of Party Membership During This Parliamentary Session,Party 2 if they left their first party (Arabic),Party 2 if they left their first party (French),Years in Party 2 if they left their first party,Party 3 if they left their second party (Arabic),Party 3 if they left their second party (French),Years in Party 3 if they left their second party,Party 4 (Arabic) if they left their third party,Party 4 if they left their third party (French),Years in Party 4 if they left their third party,,,,,,,,,,,,,,,,,,,,,,,,
طارق بن عثمان,Tarek Ben Othman,71,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عفيفة غانمي,Afifa Salah Ghanmi,72,Female,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نور الدين العريبي,Noureddine Aribi,73,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الصحبي بودربالة  ,Mohamed Essahbi Bouderbala,74,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
فتحي الخميري,Fathi Khemiri,75,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
توفيق رمضان,Taoufik Romdhane,76,Male,,,,,1,Chamber of Deputies,نابل ,Nabeul ,2009-2011,,,حزب الخضر للتقدم,Parti Des Verts Pour Le Progres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
خالد بن الطاهر,Khaled Ben Taher,77,Male,,,,,1,Chamber of Deputies,زغوان,Zaghouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الناصر الشنوفي,Ennaser Chnoufi,78,Male,,,,,1,Chamber of Deputies,زغوان,Zaghouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
نعيمة القلمامي,Naima Kalmami,79,Female,,,,,1,Chamber of Deputies,زغوان,Zaghouan,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عادل الشاوش ,Adel Echaouche,80,Male,,,,,1,Chamber of Deputies,زغوان,Zaghouan,2009-2011,,,حركة التجديد,Mouvement Ettajdid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مكرم القرقني,Makram Karkni,81,Male,,,,,1,Chamber of Deputies,زغوان,Zaghouan,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد الهادي الجلاصي ,Mohamed Hedi Jelassi,82,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
محمد بنيحي                     ,Mohamed Ben Yahia,83,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الصحبي سلطاني,Sahbi Soltani,84,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
مصطفى منصوري,Mustapha Mansouri,85,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منى الطويل حرم القرواشي      ,Mouna Touil Guerouachi,86,Female,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
عبد الكريم خلوي,Abdelkrim Khaloui,87,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,حركة الديمقراطيين الاشتراكيين,Mouvement Des Democrates Socialistes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
خليفة الطرابلسي,Khalifa Trabelsi ,88,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,الحزب الاجتماعي التحرري,Parti Social-Liberal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
العربي مقايدي,Arbi Mgaidi,89,Male,,,,,1,Chamber of Deputies, باجة,Beja,2009-2011,,,الاتحاد الديمقراطي الوحدوي,Union Democratique Unioniste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
رضا بوعجينة ,Ridha Bouajina,90,Male,,,,,1,Chamber of Deputies,الكاف,Le Kef,2009-2011,,,التجمع الدستوري الديمقراطي,Rassemblement Constitutionnel Democratique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
